"ID","all","known orientation","ER, known orientation","all/Pam80","all/PAM200","ER/PAM200"
"AA2A_HUMAN",5.891637,5.891637,5.891637,10,212,179
"AA2A_RAT",5.902032,5.902032,5.902032,10,212,179
"AA2B_HUMAN",3.717026,3.717026,3.717026,10,212,179
"AA2B_RAT",5.566612,5.566612,5.566612,10,212,179
"AA64_HUMAN",1,,,1,1,
"ACE_HUMAN",5.364102,3.629224,3.629224,6,6,4
"ACE_MOUSE",5.278508,3.629224,3.629224,6,6,4
"ACE_RABIT",5.382154,,,6,6,
"ACET_HUMAN",5.308951,3.584622,3.584622,6,6,4
"ACET_MOUSE",5.203716,3.584622,3.584622,6,6,4
"ACET_RABIT",5.341415,,,6,6,
"ACH1_DROME",11.80303,3.813217,3.813217,59,108,26
"ACH1_SCHGR",9.447825,,,59,108,
"ACH1_XENLA",10.76251,,,59,108,
"ACH2_CHICK",20.25117,,,59,108,
"ACH2_DROME",6.873432,,,59,108,
"ACH2_RAT",17.45987,6.746507,6.746507,59,108,26
"ACH2_XENLA",13.64762,,,59,108,
"ACH3_CARAU",15.95051,6.341456,6.341456,59,108,26
"ACH3_CHICK",15.86135,6.863728,6.863728,59,108,26
"ACH3_DROME",1.898337,,,59,108,
"ACH3_RAT",16.03107,6.428881,6.428881,59,108,26
"ACH4_CHICK",19.57027,7.037852,7.037852,59,108,26
"ACH4_DROME",10.76754,,,59,108,
"ACH4_RAT",18.76924,7.043297,7.043297,59,108,26
"ACH5_CHICK",13.68231,,,59,108,
"ACH5_HUMAN",9.902572,,,59,108,
"ACH5_RAT",12.67133,,,59,108,
"ACH7_CHICK",1,1,1,1,108,26
"ACHA_BOVIN",14.2934,,,59,108,
"ACHA_CHICK",13.51399,,,59,108,
"ACHA_ELEEL",1,,,1,1,
"ACHA_HUMAN",12.87315,,,59,108,
"ACHA_MOUSE",13.3325,5.581411,5.581411,59,108,26
"ACHA_RAT",11.94853,5.131438,5.131438,59,108,26
"ACHA_TORCA",12.3051,,,59,108,
"ACHA_TORMA",12.75638,,,59,108,
"ACHB_BOVIN",5.247628,4.729167,4.729167,59,108,26
"ACHB_CHICK",3.593368,,,59,108,
"ACHB_ELEEL",1,,,1,1,
"ACHB_HUMAN",4.768355,4.244657,4.244657,59,108,26
"ACHB_MOUSE",4.836152,4.313558,4.313558,59,108,26
"ACHB_RAT",4.824851,4.292021,4.292021,59,108,26
"ACHB_TORCA",4.229338,3.733553,3.733553,59,108,26
"ACHD_BOVIN",8.708186,,,59,108,
"ACHD_CHICK",8.89072,,,59,108,
"ACHD_ELEEL",3.327719,,,59,108,
"ACHD_MOUSE",7.557544,,,59,108,
"ACHD_RAT",8.783959,,,59,108,
"ACHD_TORCA",7.323127,,,59,108,
"ACHD_XENLA",6.157846,,,59,108,
"ACHE_BOVIN",6.320326,3.742697,3.742697,59,108,26
"ACHE_MOUSE",6.408325,3.854166,3.854166,59,108,26
"ACHE_RAT",6.850988,4.300076,4.300076,59,108,26
"ACHG_BOVIN",9.722193,,,59,108,
"ACHG_CHICK",10.47193,3.758857,3.758857,59,108,26
"ACHG_ELEEL",1,,,1,1,
"ACHG_HUMAN",9.260092,,,59,108,
"ACHG_MOUSE",10.71309,3.631982,3.631982,59,108,26
"ACHG_RAT",9.77839,,,59,108,
"ACHG_TORCA",8.880645,,,59,108,
"ACHG_XENLA",8.604957,,,59,108,
"ACHN_CARAU",15.60256,6.327761,6.327761,59,108,26
"ACHN_CHICK",12.27913,,,59,108,
"ACHN_HUMAN",10.4951,,,59,108,
"ACHN_RAT",9.909896,,,59,108,
"ACHO_CARAU",13.02352,,,59,108,
"ACHO_RAT",10.7758,4.724228,4.724228,59,108,26
"ACHP_CARAU",8.849041,,,59,108,
"ACHP_CHICK",14.94543,,,59,108,
"ACHP_RAT",11.24537,,,59,108,
"ACM1_DROME",7.719523,,,18,212,
"ACM1_HUMAN",11.8457,11.28558,11.28558,18,212,179
"ACM1_MOUSE",11.69906,11.13175,11.13175,18,212,179
"ACM1_PIG",11.70891,11.14879,11.14879,18,212,179
"ACM1_RAT",11.63857,11.16026,11.16026,18,212,179
"ACM2_CHICK",11.47909,10.90817,10.90817,18,212,179
"ACM2_HUMAN",11.42096,10.84981,10.84981,18,212,179
"ACM2_PIG",11.37137,10.80023,10.80023,18,212,179
"ACM2_RAT",11.31972,10.74943,10.74943,18,212,179
"ACM3_HUMAN",10.84798,10.84798,10.84798,18,212,179
"ACM3_PIG",10.6944,10.6944,10.6944,18,212,179
"ACM3_RAT",10.58388,10.58388,10.58388,18,212,179
"ACM4_CHICK",11.69752,11.09616,11.09616,18,212,179
"ACM4_HUMAN",11.38976,10.83088,10.83088,18,212,179
"ACM4_RAT",11.36983,10.81151,10.81151,18,212,179
"ACM4_XENLA",11.26161,10.71004,10.71004,18,212,179
"ACM5_HUMAN",10.23828,10.23828,10.23828,18,212,179
"ACM5_RAT",10.35976,10.35976,10.35976,18,212,179
"ACO1_YEAST",1,,,1,1,
"AD1_RAT",2.557207,2.557207,2.557207,2,12,11
"ADP1_YEAST",1,,,1,35,
"ADT_CHLRE",9.020382,,,13,30,
"ADT_NEUCR",9.076965,,,13,30,
"ADT_RICPR",1,,,1,1,
"ADT1_BOVIN",8.359726,,,13,30,
"ADT1_HUMAN",8.43357,,,13,30,
"ADT1_MAIZE",9.523132,,,13,30,
"ADT1_SOLTU",9.386311,,,13,30,
"ADT1_YEAST",8.470986,,,13,30,
"ADT2_HUMAN",8.366618,,,13,30,
"ADT2_MAIZE",9.483286,,,13,30,
"ADT2_SOLTU",9.302345,,,13,30,
"ADT2_YEAST",8.959127,,,13,30,
"ADT3_HUMAN",8.262487,,,13,30,
"ADT3_YEAST",9.055487,,,13,30,
"AG2R_BOVIN",6.554791,6.554791,6.554791,7,212,179
"AG2R_HUMAN",6.668924,6.668924,6.668924,7,212,179
"AG2R_MOUSE",6.67393,6.67393,6.67393,7,212,179
"AG2R_PIG",6.657762,6.657762,6.657762,7,212,179
"AG2R_RAT",6.687902,6.687902,6.687902,7,212,179
"AG2S_MOUSE",6.577954,6.577954,6.577954,7,212,179
"AG2S_RAT",6.635941,6.635941,6.635941,7,212,179
"AIL_YEREN",1,,,1,4,
"ALG1_YEAST",1,,,1,1,
"ALKB_PSEOL",1,,,1,2,
"AMA1_PLACH",3.129647,2.036982,2.036982,4,4,3
"AMA1_PLAFA",3.268614,2.095837,2.095837,4,4,3
"AMA1_PLAFR",3.748433,2.099746,2.099746,4,4,3
"AMD_BOVIN",3.47677,,,4,4,
"AMD_HUMAN",3.482926,,,4,4,
"AMD_RAT",3.442279,,,4,4,
"AMD2_XENLA",2.985142,,,4,4,
"AMFR_HUMAN",1,1,1,1,1,1
"AMIC_STRPN",1,,,1,4,
"AMID_STRPN",1,,,1,4,
"AMPE_ECOLI",1,,,1,1,
"AMPE_MOUSE",1,,,1,5,
"AMPN_HUMAN",3.367585,1,1,4,5,1
"AMPN_PIG",3.383525,,,4,5,
"AMPN_RABIT",3.452327,,,4,5,
"AMPN_RAT",3.36404,,,4,5,
"AMPR_HUMAN",2.430564,,,2,2,
"ANPA_HUMAN",4.967036,,,9,260,
"ANPA_MOUSE",5.97722,,,9,260,
"ANPA_RAT",5.994098,,,9,260,
"ANPB_HUMAN",6.62823,,,9,260,
"ANPB_RAT",6.624037,,,9,260,
"ANPC_BOVIN",1.932628,,,2,260,
"ANPC_HUMAN",1.932628,,,2,260,
"AOAH_HUMAN",1,,,1,1,
"AOX1_SAUGU",1,,,1,1,
"APPB_ECOLI",2.057976,2.057976,,2,2,
"APPC_ECOLI",2.198755,,,2,2,
"ARAE_ECOLI",1,,,1,32,
"ARCB_ECOLI",1,,,1,23,
"ARCD_PSEAE",1,,,1,4,
"AROP_ECOLI",2.239304,,,2,11,
"ARP4_STRPY",9.320907,7.896798,,10,260,
"ARSB_ECOLI",2.114178,,,3,3,
"ARSB_STAAU",2.529802,,,3,3,
"ARSB_STAXY",2.529466,,,3,3,
"ASA1_ENTFA",1,1,,1,260,
"ATC1_YEAST",1,,,1,66,
"ATC2_YEAST",1.483288,,,2,66,
"ATC3_SCHPO",1.483288,,,2,66,
"ATCA_RABIT",11.965,,,14,66,
"ATCB_CHICK",11.9018,,,14,66,
"ATCB_DROME",10.30621,,,14,66,
"ATCB_RABIT",11.965,,,14,66,
"ATCD_FELCA",12.9192,,,14,66,
"ATCD_HUMAN",12.9542,,,14,66,
"ATCD_PIG",12.95301,,,14,66,
"ATCD_RABIT",12.94542,,,14,66,
"ATCD_RAT",12.9678,,,14,66,
"ATCE_HUMAN",12.94228,,,14,66,
"ATCE_PIG",12.94132,,,14,66,
"ATCE_RABIT",12.92592,,,14,66,
"ATCE_RAT",12.9528,,,14,66,
"ATCF_RAT",10.91101,,,14,66,
"ATCP_RAT",5.577719,,,6,66,
"ATCQ_HUMAN",5.575026,,,6,66,
"ATCQ_PIG",5.566808,,,6,66,
"ATCQ_RABIT",5.46577,,,6,66,
"ATCQ_RAT",5.083924,1.781897,,6,66,
"ATCR_HUMAN",4.959947,1.781897,,6,66,
"ATH1_ARATH",4.415186,,,5,66,
"ATH1_CANAL",5.729424,,,7,66,
"ATH1_LYCES",4.407321,,,5,66,
"ATH1_SCHPO",5.53753,,,7,66,
"ATH1_YEAST",5.870913,,,7,66,
"ATH2_ARATH",4.455576,,,5,66,
"ATH2_LYCES",4.352794,,,5,66,
"ATH2_SCHPO",5.466485,,,7,66,
"ATH2_YEAST",5.814326,,,7,66,
"ATH3_ARATH",4.374795,,,5,66,
"ATHA_HUMAN",15.01686,,,22,66,
"ATHA_PIG",15.02031,,,22,66,
"ATHA_RABIT",15.07762,,,22,66,
"ATHA_RAT",15.07194,,,22,66,
"ATHB_PIG",2.653497,,,3,18,
"ATHB_RABIT",2.672977,,,3,18,
"ATHB_RAT",2.656775,,,3,18,
"ATHP_NEUCR",5.597726,,,7,66,
"ATHP_ZYGRO",5.792043,,,7,66,
"ATK_ENTFA",1,,,1,66,
"ATKB_ECOLI",1,1,,1,66,
"ATMB_SALTY",1,,,1,66,
"ATMC_SALTY",1,,,1,1,
"ATN1_BUFMA",18.035,,,22,66,
"ATN1_CHICK",18.19081,,,22,66,
"ATN1_HORSE",18.48577,,,22,66,
"ATN1_HUMAN",18.507,,,22,66,
"ATN1_PIG",18.48688,,,22,66,
"ATN1_RAT",18.38724,,,22,66,
"ATN1_SHEEP",18.49756,,,22,66,
"ATN2_CHICK",18.03515,,,22,66,
"ATN2_RAT",17.95111,,,22,66,
"ATN3_CHICK",18.16822,,,22,66,
"ATN3_HUMAN",18.1274,,,22,66,
"ATN3_PIG",18.53267,,,22,66,
"ATN3_RAT",18.14014,,,22,66,
"ATNA_ARTSA",15.04096,,,22,66,
"ATNA_ARTSF",16.01327,,,22,66,
"ATNA_CATCO",17.75519,,,22,66,
"ATNA_DROME",15.99796,,,22,66,
"ATNA_TORCA",17.64461,,,22,66,
"ATNB_ARTSA",1,1,1,1,18,12
"ATNB_BUFMA",5.601267,3.874728,3.874728,9,18,12
"ATNB_CANFA",7.421758,5.224803,5.224803,9,18,12
"ATNB_CHICK",6.334058,,,9,18,
"ATNB_HUMAN",7.490422,5.265423,5.265423,9,18,12
"ATNB_MOUSE",7.411475,5.177568,5.177568,9,18,12
"ATNB_PIG",7.365682,5.196868,5.196868,9,18,12
"ATNB_RAT",7.439138,,,9,18,
"ATNB_SHEEP",7.406311,5.215169,5.215169,9,18,12
"ATNB_TORCA",5.673745,,,9,18,
"ATNC_BUFMA",1.692366,1.692366,1.692366,5,18,12
"ATNC_HUMAN",3.440931,3.440931,3.440931,5,18,12
"ATNC_MOUSE",3.457226,3.457226,3.457226,5,18,12
"ATNC_RAT",3.468802,3.468802,3.468802,5,18,12
"ATNC_XENLA",3.286569,3.286569,3.286569,5,18,12
"ATP6_ANASP",7.981409,,,11,20,
"ATP6_BACAO",3.121903,,,4,20,
"ATP6_BACFI",2.974807,,,4,20,
"ATP6_BACME",2.863689,,,4,20,
"ATP6_ECOLI",1.605432,,,3,20,
"ATP6_PROMO",1,,,1,20,
"ATP6_PSEPU",1.517472,,,3,20,
"ATP6_RHORU",1,,,1,20,
"ATP6_SYNP6",8.254632,,,11,20,
"ATP6_SYNY3",7.970869,,,11,20,
"ATP6_THEP3",2.903266,,,4,20,
"ATP6_VIBAL",2.122904,,,3,20,
"ATP9_BETVU",12.77745,,,18,18,
"ATP9_HELAN",10.80725,,,18,18,
"ATP9_MAIZE",11.83846,,,18,18,
"ATP9_MARPO",13.37183,,,18,18,
"ATP9_OENBI",13.50077,,,18,18,
"ATP9_ORYSA",11.26233,,,18,18,
"ATP9_PARTE",1,,,1,1,
"ATP9_PEA",13.08621,,,18,18,
"ATP9_SCHPO",9.997725,,,18,18,
"ATP9_TOBAC",11.41783,,,18,18,
"ATP9_WHEAT",13.62546,,,18,18,
"ATP9_YEAST",8.132038,,,18,18,
"ATPF_ANASP",1.448784,,,2,22,
"ATPF_BACFI",2.075373,,,3,22,
"ATPF_BACME",2.217876,,,3,22,
"ATPF_BOVIN",2.705398,,,3,3,
"ATPF_ECOLI",1.733703,,,2,22,
"ATPF_ENTFA",1,,,1,22,
"ATPF_EUGGR",1,,,1,22,
"ATPF_HUMAN",2.680488,,,3,3,
"ATPF_MARPO",3.639874,,,6,22,
"ATPF_ODOSI",1,,,1,22,
"ATPF_ORYSA",4.82977,,,6,22,
"ATPF_PEA",4.660023,,,6,22,
"ATPF_PROMO",1,,,1,22,
"ATPF_RAT",2.663521,,,3,3,
"ATPF_RHORU",1,,,1,1,
"ATPF_SPIOL",4.884843,,,6,22,
"ATPF_SYNP6",1.448784,,,2,22,
"ATPF_SYNY3",1,,,1,22,
"ATPF_THEP3",2.20977,,,3,22,
"ATPF_TOBAC",4.829096,,,6,22,
"ATPF_VIBAL",1.733703,,,2,22,
"ATPF_WHEAT",4.84888,,,6,22,
"ATPH_EUGGR",9.622835,,,12,19,
"ATPH_MARPO",10.68476,,,12,19,
"ATPH_ODOSI",10.12682,,,12,19,
"ATPH_PAVLU",10.26906,,,12,19,
"ATPH_PEA",10.47851,,,12,19,
"ATPH_SOYBN",10.63226,,,12,19,
"ATPH_SPIOL",10.58905,,,12,19,
"ATPH_TOBAC",10.65946,,,12,19,
"ATPI_EUGGR",7.958399,,,11,20,
"ATPI_MAIZE",9.031183,,,11,20,
"ATPI_MARPO",8.753292,,,11,20,
"ATPI_ODOSI",7.347819,,,11,20,
"ATPI_ORYSA",9.015898,,,11,20,
"ATPI_PAVLU",1,,,1,1,
"ATPI_PEA",8.935085,,,11,20,
"ATPI_SPIOL",9.077555,,,11,20,
"ATPI_TOBAC",9.109227,,,11,20,
"ATPL_ANASP",10.28398,,,12,19,
"ATPL_BACAO",2.901075,,,5,19,
"ATPL_BACFI",2.939662,,,5,19,
"ATPL_BACME",3.397323,,,5,19,
"ATPL_BOVIN",11.78429,,,18,18,
"ATPL_ECOLI",1.492111,,,2,19,
"ATPL_EMENI",7.437743,,,18,18,
"ATPL_ENTFA",2.23106,,,5,19,
"ATPL_HUMAN",11.77307,,,18,18,
"ATPL_NEUCR",8.67104,,,18,18,
"ATPL_PROMO",7.066257,,,12,19,
"ATPL_RHORU",2.365799,,,18,18,
"ATPL_SHEEP",11.88784,,,18,18,
"ATPL_SULAC",1,,,1,1,
"ATPL_SYNP6",10.34585,,,12,19,
"ATPL_SYNY3",9.745683,,,12,19,
"ATPL_THEP3",3.381186,,,5,19,
"ATPL_VIBAL",1.492111,,,2,19,
"ATPM_BOVIN",11.75537,,,18,18,
"ATPX_ANASP",2.219631,,,3,22,
"ATPX_ODOSI",1,,,1,22,
"ATPX_RHORU",1,,,1,1,
"ATPX_SYNP6",2.212658,,,3,22,
"ATPX_SYNY3",2.22798,,,3,22,
"ATPY_YEAST",1,,,1,1,
"ATPZ_ANASP",1.512916,,,2,2,
"ATPZ_BACFI",1,,,1,1,
"ATPZ_BACME",1.553017,,,2,2,
"ATPZ_ECOLI",1,,,1,2,
"ATPZ_PROMO",1,,,1,1,
"ATPZ_PSEPU",1,,,1,1,
"ATPZ_RHORU",1,,,1,1,
"ATPZ_SYNP6",1.512916,,,2,2,
"ATPZ_THEP3",1.553017,,,2,2,
"ATPZ_VIBAL",1,,,1,2,
"ATR1_YEAST",1,,,1,1,
"ATX_SYNP6",1,,,1,66,
"ATXA_LEIDO",1.988509,,,2,66,
"ATXB_LEIDO",1.988509,,,2,66,
"AVR2_HUMAN",4.246233,4.246233,4.246233,5,260,37
"AVR2_MOUSE",4.244405,4.244405,4.244405,5,260,37
"AVR2_XENLA",4.10091,4.10091,4.10091,5,260,37
"AVRB_MOUSE",3.894711,3.894711,3.894711,5,260,37
"AVRB_XENLA",3.901181,3.901181,3.901181,5,260,37
