"group-ID","Spec-Type","Spec-No","1st level","2nd level","3rd level","4th level","5th level","6th level","7th level"
"E9172","E",9172,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","MAGNOLIALES","WINTERACEAE",
"E9180","E",9180,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","LAURALES","LAURACEAE",
"E9200","E",9200,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","LINALES","LINACEAE",
"E9202","E",9202,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","LINALES","HUMIRIACEAE",
"E9300","E",9300,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","RHOEADALES","PAPAVERACEAE",
"E9310","E",9310,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","RANUNCULALES","CORIARIACEAE",
"E9312","E",9312,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","RANUNCULALES","RANUNCULACEAE",
"E9320","E",9320,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","RANUNCULALES","MENISPERMACEAE",
"E9330","E",9330,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","URTICALES","ULMACEAE",
"E9340","E",9340,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","URTICALES","CANNABACEAE",
"E9350","E",9350,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","URTICALES","MORACEAE",
"E9360","E",9360,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","URTICALES","URTICACEAE",
"E9370","E",9370,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","FAGALES","FAGACEAE",
"E9380","E",9380,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","CASUARINALES","CASUARINACEAE",
"E9382","E",9382,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","DAPHNIPHYLLALES","DAPHNIPHYLLACEAE",
"E9384","E",9384,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","EUCOMMIALES","EUCOMMIACEAE",
"E9388","E",9388,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","HAMAMELIDALES","HAMAMELIDACEAE",
"E9389","E",9389,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","HAMAMELIDALES","PLATANACEAE",
"E9392","E",9392,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","TROCHODENDRALES","TROCHODENDRACEAE",
"E9400","E",9400,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","CARYOPHYLLALES","BASELLACEAE",
"E9410","E",9410,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","CARYOPHYLLALES","CACTACEAE",
"E9420","E",9420,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","CARYOPHYLLALES","DIDIEREACEAE",
"E9430","E",9430,"PLANTA","EMBRYOPHYTA","ANGIOSPERMAE","DICOTYLEDONEAE","CARYOPHYLLALES","MOLLUGINACEAE",
